time,cpu,inbw,outBw,memory,Label
2018-05-15T00:35:27,45,0.39755232876700003,0.043346301369899996,16,16
2018-05-15T01:05:11,43,0.390417600897,0.0549742152466,16,16
2018-05-15T01:35:11,49,0.387238888889,0.06542555555559999,16,16
2018-05-15T02:05:05,45,0.376139910814,0.052710144927499994,16,16
2018-05-15T02:35:19,40,0.391684123484,0.0462993384785,16,16
2018-05-15T03:05:16,45,0.412259321091,0.055516972732299996,16,16
2018-05-15T03:34:58,40,0.35756958473600003,0.0417059483726,16,16
2018-05-15T04:05:03,60,0.409424930748,0.06261883656509999,16,16
2018-05-15T04:35:00,48,0.42268725653899997,0.06574846967169999,16,16
2018-05-15T05:05:00,44,0.367454444444,0.0507916666667,16,16
2018-05-15T05:35:00,43,0.357528333333,0.0421627777778,16,16
2018-05-15T06:05:03,45,0.411723793677,0.057149750416000004,16,16
2018-05-15T06:34:56,46,0.332757389849,0.042923034021200006,16,16
2018-05-15T07:05:00,41,0.35705210642999996,0.0524013303769,16,16
2018-05-15T07:35:15,49,0.357638567493,0.0487493112948,16,16
2018-05-15T08:05:05,50,0.37534804469300004,0.054127932960899995,16,16
2018-05-15T08:34:59,54,0.32049609810499996,0.045487179487200005,16,16
2018-05-15T09:05:06,46,0.437607636967,0.0450807969009,16,16
2018-05-15T09:35:04,45,0.390839265851,0.044921023359300004,16,16
2018-05-15T10:04:58,44,0.406565774805,0.0526510590858,16,16
2018-05-15T10:34:58,46,0.41433499999999995,0.0438466666667,16,16
2018-05-15T11:05:09,44,0.432930425179,0.049795140806200004,16,16
2018-05-15T11:35:00,52,0.409659408152,0.0569910664433,16,16
2018-05-15T12:05:00,55,0.41641,0.0548855555556,16,16
2018-05-15T12:35:06,49,0.410362126246,0.0404955703212,16,16
2018-05-15T13:04:57,46,0.409756002233,0.0405164712451,16,16
2018-05-15T13:34:46,46,0.380828954723,0.042789267747300005,16,16
2018-05-15T14:04:50,44,0.424560421286,0.0590803769401,16,16
2018-05-15T14:34:50,46,0.357708727071,0.048417454141199995,16,16
2018-05-15T15:04:49,42,0.37408893829900003,0.049600889383,16,16
2018-05-15T15:34:53,38,0.352091463415,0.0441225055432,16,16
2018-05-15T16:04:54,42,0.418608550805,0.056921710161,16,16
2018-05-15T16:35:03,45,0.35048590381399997,0.0520884466556,16,16
2018-05-15T17:04:59,39,0.42471603563500004,0.0576330734967,16,16
2018-05-15T17:34:58,42,0.376696498054,0.048978321289599995,16,16
2018-05-15T18:04:47,44,0.40565958636099997,0.051771939631099995,16,16
2018-05-15T18:35:07,46,0.366893406593,0.0422450549451,16,16
2018-05-15T19:05:08,45,0.421440310938,0.0701004997224,16,16
2018-05-15T19:34:59,49,0.420106085985,0.058685092127300005,16,16
2018-05-15T20:04:59,45,0.6111811111109999,0.134870555556,16,16
2018-05-15T20:34:49,42,8.30289497207,0.240986592179,16,16
2018-05-15T21:04:59,40,0.38245082872900005,0.051624861878499996,16,16
2018-05-15T21:34:51,41,0.376409040179,0.0436099330357,16,16
2018-05-15T22:04:47,42,0.41621380846300005,0.0766976614699,16,16
2018-05-15T22:34:45,40,0.377987764182,0.0489499443826,16,16
2018-05-15T23:04:52,38,0.44077587161000004,0.0531864969563,16,16
2018-05-15T23:34:52,46,0.400080555556,0.0550716666667,16,16
2018-05-16T00:05:01,42,0.435739082366,0.0580337202875,16,16
2018-05-16T00:35:29,40,0.390121444201,0.0450410284464,16,16
2018-05-16T01:05:00,43,0.405363636364,0.0567747035573,16,16
2018-05-16T01:34:51,45,0.386998324958,0.0552769402568,16,16
2018-05-16T02:04:49,45,0.422847608454,0.0627174638487,16,16
2018-05-16T02:34:51,45,0.414279689234,0.0546836847947,16,16
2018-05-16T03:04:48,43,0.397242070117,0.050077351140799996,16,16
2018-05-16T03:34:41,46,0.359884486607,0.0471227678571,16,16
2018-05-16T04:04:40,41,0.419129516398,0.0602084491384,16,16
2018-05-16T04:34:41,43,0.404719600222,0.0527362576346,16,16
2018-05-16T05:04:40,47,0.418358532518,0.0592868260145,16,16
2018-05-16T05:34:42,41,0.40477136515,0.0517258601554,16,16
2018-05-16T06:04:52,42,0.458515469613,0.0526712707182,16,16
2018-05-16T06:34:54,47,0.336635960044,0.0417508324084,16,16
2018-05-16T07:04:49,40,0.43637994429000004,0.0571559888579,16,16
2018-05-16T07:35:03,49,0.38953748621800005,0.0473533627343,16,16
2018-05-16T08:04:50,43,0.343021824287,0.0518024622272,16,16
2018-05-16T08:34:48,46,0.387735261402,0.035541713014499994,16,16
2018-05-16T09:04:55,46,0.374620365246,0.0464692861096,16,16
2018-05-16T09:34:53,46,0.316771412681,0.0378559510567,16,16
2018-05-16T10:05:07,47,0.336508269019,0.0474570011025,16,16
2018-05-16T10:35:14,43,0.327003320421,0.046830105146699996,16,16
2018-05-16T11:05:23,46,0.345145936982,0.0419474847982,16,16
2018-05-16T11:35:04,46,0.292836608647,0.042596855699,16,16
2018-05-16T12:05:04,42,0.339503333333,0.0513472222222,16,16
2018-05-16T12:35:03,44,0.36642190105600003,0.0378610339077,16,16
2018-05-16T13:04:51,48,0.315055369128,0.0432030201342,16,16
2018-05-16T13:35:10,42,0.34271302913699997,0.0488466190214,16,16
2018-05-16T14:05:02,46,0.34872488839300003,0.0453610491071,16,16
2018-05-16T14:35:04,47,0.275253052164,0.0367280799112,16,16
2018-05-16T15:05:19,45,0.341354820937,0.0469129476584,16,16
2018-05-16T15:35:12,44,0.356592861127,0.0411907417736,16,16
2018-05-16T16:05:04,47,0.29139341517899997,0.0439905133929,16,16
2018-05-16T16:35:03,40,0.32585714285699996,0.0634180100056,16,16
2018-05-16T17:05:00,46,0.30106900389499996,0.041055091819700004,16,16
