time,cpu
1527189811,4
1527192661,4
1527193724,4
1527195239,4
1527198914,4
1527204239,4
1527205993,4
1527207791,5
1527209652,5
1527211647,4
1527213334,4
1527215158,4
1527216869,4
1527219007,5
1527220442,4
1527222226,4
1527224038,4
1527225918,4
1527227900,4
1527229450,4
1527231227,4
1527233056,4
1527234901,4
1527236656,5
1527238470,5
1527240444,4
1527242033,4
1527243862,4
1527245785,5
1527247517,4
1527249271,4
1527251096,4
1527252777,4
1527254570,4
1527256441,4
1527259961,4
1527261774,4
1527263574,5
1527265463,5
1527267450,4
1527269074,4
1527270804,4
1527272693,4
1527274600,4
1527276341,4
1527278060,4
1527279759,5
1527281589,4
1527283616,4
1527285579,4
1527287012,4
1527288770,4
1527290564,5
1527292363,4
1527294262,4
1527295988,5
1527297792,4
1527300002,4
1527301707,4
1527303256,4
1527305027,5
1527306816,4
1527308555,5
1527310353,4
1527312162,4
1527313947,4
1527315748,4
1527317649,4
1527319666,4
1527321194,5
1527322970,4
1527324776,4
1527326555,4
1527328373,5
1527330280,4
1527332160,4
1527333762,4
1527335601,4
1527337464,4
1527339165,4
1527341005,5
1527342915,4
1527344565,4
1527346366,4
1527348155,4
1527349949,4
1527351743,4
1527353560,4
1527355383,4
1527357157,4
1527358943,5
1527360766,4
1527362549,5
1527364333,4
1527366147,4
1527367956,5
1527369756,4
1527371536,4
1527373419,4
1527375163,4
1527376940,4
1527378771,4
1527687120,5
1527688439,5
1527690377,10
1527692059,24
1527693905,17
1527695940,15
1527697488,14
1527699314,13
1527701059,17
1527702925,15
1527705026,16
1527706604,13
1527708401,14
1527710140,15
1527712604,18
1527714264,16
1527715719,16
1527717261,18
1527719047,19
1527720816,15
1527722610,13
1527724546,14
1527726637,13
1527728431,11
1527729973,10
1527731763,9
1527733510,7
1527735227,7
1527737130,6
1527738905,5
1527742397,4
1527744202,4
1527746046,4
1527747863,4
1527749647,4
1527751453,4
1527753419,4
1527755350,4
1527756776,4
1527758683,4
1527760426,5
1527762203,4
1527764142,5
1527765859,4
1527767659,4
1527769503,4
1527771313,5
1527773325,4
1527774840,4
1527776616,5
1527778461,14
1527780702,35
1527782188,20
1527783821,19
1527787399,18
1527789655,18
1527791358,14
1527792913,16
1527794662,16
1527796681,14
1527798217,15
1527800011,17
1527801794,15
1527803598,15
1527805394,14
1527807171,13
1527808961,12
1527810776,11
1527812606,10
1527814429,8
1527816248,7
1527817978,6
1527819788,6
1527821609,5
1527823392,5
1527825155,4
1527826969,4
1527828791,4
1527830618,4
1527832475,4
1527834346,4
1527836016,4
1527837841,4
1527839655,4
1527841407,5
1527843214,4
1527844991,4
1527846932,4
1527848683,4
1527850698,4
1527852362,4
1527854161,4
1527855845,12
1527857778,30
1527859447,18
1527861281,15
1527863278,15
1527865040,12
1527866660,13
1527868418,11
1527870331,11
1527872154,12
1527873817,10
1527875617,9
1527877389,26
1527879176,20
1527881101,13
1527882846,17
1527884639,14
1527886424,15
1527888190,14
1527889987,15
1527891853,14
1527893580,14
1527895400,13
1527897198,15
1527899016,15
1527900811,14
1527902611,13
1527904384,12
1527906185,19
1527907938,16
1527909777,13
1527911590,12
1527913380,11
1527915179,10
1527916992,8
1527918781,8
1527920574,8
1527922375,7
1527924235,5
1527926058,5
1527927799,4
1527929577,5
1527931378,4
1527933195,4
1527934977,4
1527936845,4
1527938613,5
1527940398,4
1527942214,4
1527944032,4
1527945813,4
1527947614,4
1527949424,4
1527951197,4
1527953046,4
1527954784,4
1527956582,4
1527958378,4
1527960194,4
1527961996,4
1527963778,4
1527965635,4
1527967380,4
1527969190,4
1527970977,4
1527972785,4
1527974573,5
1527976373,4
1527978180,4
1527979973,4
1527981786,4
1527983562,4
1527985398,5
1527987212,4
1527989061,5
1527990761,4
1527992568,4
1527994362,4
1527996164,4
1527997968,4
1527999759,4
1528001564,4
1528003360,4
1528005172,4
1528006974,4
1528008780,4
1528010595,5
1528012403,4
1528014175,5
1528016033,5
1528017842,4
1528019608,4
1528021386,4
1528023201,5
1528025017,4
1528026799,4
1528028604,4
1528030410,4
1528032185,4
1528033984,4
1528035783,4
1528037579,4
1528039372,5
1528041173,4
1528042990,4
1528044794,4
1528046590,4
1528048391,4
1528050183,4
1528051985,4
1528053823,4
1528055597,5
1528057379,4
1528059192,4
1528061007,4
1528062810,4
1528064575,4
1528066362,4
1528068179,4
1528069976,4
1528071776,4
1528073577,4
1528075398,4
1528077183,4
1528079000,4
1528080798,4
1528082579,4
1528084357,4
1528086158,4
1528087972,4
1528089786,4
1528091612,4
1528093421,4
1528095233,4
1528097051,4
1528099084,4
1528100669,5
1528102459,5
1528104183,5
1528106437,4
1528108157,4
1528109728,4
1528111453,5
1528113298,5
1528115064,5
1528116841,4
1528118667,4
1528120668,5
1528122222,4
1528124028,4
1528125906,5
1528127657,4
1528129651,7
1528131293,13
1528133037,10
1528134814,18
1528136585,13
1528138429,17
1528140184,16
1528142027,13
1528143830,12
1528145631,11
1528147417,19
1528149232,14
1528150991,17
1528152840,13
1528154622,16
1528156407,13
1528158227,17
1528160013,13
1528161807,10
1528163606,10
1528165413,10
1528167231,9
1528169027,8
1528170831,7
1528172606,6
1528174459,6
1528176226,5
1528178053,4
1528179825,4
1528182030,4
1528183495,4
1528185256,5
1528187007,4
1528188864,4
1528190667,4
1528192432,4
1528194363,4
1528196108,4
1528197910,4
1528199661,4
1528201437,4
1528203247,4
1528205027,5
1528206941,4
1528208671,16
1528210519,29
1528212199,19
1528214089,15
1528215811,13
1528217614,13
1528219425,13
1528221198,13
1528222981,14
1528224775,12
1528226609,11
1528228388,14
1528230217,15
1528232057,13
1528233812,12
1528235629,13
1528237420,16
1528239197,17
1528240989,13
1528242792,12
1528244591,11
1528246402,11
1528248182,9
1528250007,8
1528251779,6
1528253605,5
1528255412,5
1528257185,5
1528258974,4
1528260772,4
1528262603,4
1528264440,5
1528266195,4
1528268087,4
1528269837,4
1528271642,4
1528273451,4
1528275216,4
1528276980,4
1528278822,4
1528280672,4
1528282416,4
1528284264,4
1528286018,4
1528287820,4
1528289654,4
1528291444,4
1528293384,13
1528295055,19
1528296862,13
1528300409,9
1528302260,9
1528304047,8
1528305827,7
1528307596,7
1528309385,6
1528311160,6
1528313102,5
1528314820,4
1528316621,4
1528318407,4
1528320215,4
1528322019,4
1528323802,4
1528325632,4
1528327413,5
1528329234,4
1528331017,4
1528332835,4
1528334648,5
1528336439,4
1528338231,4
1528340016,35
1528341809,25
1528343583,14
1528345408,13
1528347223,12
1528349059,12
1528350824,10
1528352691,10
1528354405,9
1528356261,8
1528358087,7
1528359833,7
1528361643,6
1528363655,6
1528365383,4
1528367036,4
1528368893,4
1528370699,4
1528372475,4
1528374270,4
1528376120,4
1528377849,5
1528379737,4
1528381426,4
1528383607,4
1528385074,4
1528386821,4
1528388648,4
1528390661,5
1528392246,4
1528394002,4
1528395816,4
1528397602,4
1528399404,4
1528401208,4
1528403041,4
1528404837,4
1528406601,5
1528408425,4
1528410219,4
1528411976,4
1528413795,4
1528415611,4
1528417368,4
1528419214,4
1528421069,4
1528422787,5
1528424623,4
1528426394,4
1528428150,5
1528429964,4
1528431779,4
1528433548,5
1528435361,5
1528437150,4
1528439003,4
1528440849,4
1528442709,5
1528444466,4
1528446186,4
1528448038,5
1528449866,5
1528451632,4
1528453590,4
1528455330,4
1528457047,4
1528458838,4
1528460701,4
1528462406,4
1528464273,5
1528466093,4
1528467878,5
1528469629,4
1528471440,8
1528473284,10
1528475012,14
1528476853,16
1528478643,13
1528480424,14
1528482212,15
1528484004,13
1528485820,11
1528487606,10
1528489443,10
1528491222,9
1528492967,8
1528494823,6
1528496631,6
1528498449,4
1528500229,5
1528502030,4
1528503849,16
1528505658,22
1528507458,14
1528509281,13
1528511032,13
1528512821,13
1528514613,13
1528516402,16
1528518204,14
1528520001,11
1528521795,10
1528523621,9
1528525397,8
1528527238,7
1528529046,6
